,date,time,location,catch
259,2020-02-13,4,H2,2
260,2020-02-14,1,H2,4
261,2020-02-14,3,C3,1
262,2020-02-14,3,C3,2
263,2020-02-14,3,C3,2
264,2020-02-14,3,C3,0
265,2020-02-14,4,H3,1
266,2020-02-14,4,H3,0
267,2020-02-15,3,H3,0
268,2020-02-15,3,H3,1
269,2020-02-16,3,C1,3
270,2020-02-16,3,C1,4
271,2020-02-16,3,C1,1
272,2020-02-16,4,H3,0
273,2020-02-16,4,H3,1
274,2020-02-18,1,E,2
275,2020-02-18,1,E,0
276,2020-02-18,1,E,4
277,2020-02-18,1,E,1
278,2020-02-18,3,C1,2
279,2020-02-18,3,C1,1
280,2020-02-18,3,C1,4
281,2020-02-18,4,H4,4
282,2020-02-18,4,H4,1
283,2020-02-19,1,H3,0
284,2020-02-19,1,H3,0
285,2020-02-19,1,H3,1
286,2020-02-20,3,H4,3
287,2020-02-20,3,H4,3
288,2020-02-22,1,H1,4
289,2020-02-22,3,H6,0
290,2020-02-22,3,H6,2
291,2020-02-22,3,H6,2
292,2020-02-22,3,H6,1
293,2020-02-23,1,H2,1
294,2020-02-23,3,H6,1
295,2020-02-23,3,H6,4
296,2020-02-23,3,H6,1
297,2020-02-23,3,H6,3
298,2020-02-24,1,H6,3
299,2020-02-24,1,H6,0
300,2020-02-24,1,H6,0
301,2020-02-24,1,H6,0
302,2020-02-24,1,H6,0
303,2020-02-24,3,H4,2
304,2020-02-24,3,H4,1
305,2020-02-24,4,H6,4
306,2020-02-24,4,H6,0
307,2020-02-24,4,H6,4
308,2020-02-24,4,H6,0
309,2020-02-24,4,H6,3
310,2020-02-25,3,C2,3
311,2020-02-25,3,C2,2
312,2020-02-25,3,C2,4
313,2020-02-25,3,C2,3
314,2020-02-25,3,C2,2
315,2020-02-25,3,C2,0
316,2020-02-26,2,AB2,3
317,2020-02-26,2,AB2,4
318,2020-02-26,2,AB2,2
319,2020-02-26,3,H4,2
320,2020-02-26,3,H4,4
321,2020-02-26,4,H5,1
322,2020-02-26,4,H5,1
323,2020-02-26,4,H5,0
324,2020-02-26,4,H5,0
325,2020-02-26,4,H5,2
326,2020-02-27,3,H3,2
327,2020-02-27,3,H3,1
328,2020-02-27,4,H1,1
329,2020-02-28,1,H3,2
330,2020-02-28,1,H3,4
331,2020-02-28,1,H3,1
332,2020-02-28,3,H6,3
333,2020-02-28,3,H6,4
334,2020-02-28,3,H6,2
335,2020-02-28,3,H6,2
336,2020-02-29,1,E,3
337,2020-02-29,1,E,2
338,2020-02-29,1,E,2
339,2020-02-29,1,E,0
340,2020-03-01,3,H1,1
341,2020-03-02,1,E,4
342,2020-03-02,1,E,3
343,2020-03-02,1,E,1
344,2020-03-02,1,E,1
345,2020-03-02,2,AB1,1
346,2020-03-02,2,AB1,2
347,2020-03-02,2,AB1,3
348,2020-03-02,4,H5,1
349,2020-03-02,4,H5,4
350,2020-03-02,4,H5,2
351,2020-03-02,4,H5,3
352,2020-03-02,4,H5,3
353,2020-03-03,1,H6,1
354,2020-03-03,1,H6,4
355,2020-03-03,1,H6,4
356,2020-03-03,1,H6,0
357,2020-03-03,1,H6,3
358,2020-03-03,4,H6,4
359,2020-03-03,4,H6,3
360,2020-03-03,4,H6,2
361,2020-03-03,4,H6,4
362,2020-03-03,4,H6,4
363,2020-03-04,1,E,0
364,2020-03-04,1,E,2
365,2020-03-04,1,E,4
366,2020-03-04,1,E,3
367,2020-03-04,4,H6,4
368,2020-03-04,4,H6,0
369,2020-03-04,4,H6,2
370,2020-03-04,4,H6,0
371,2020-03-04,4,H6,0
372,2020-03-05,1,H4,3
373,2020-03-05,1,H4,1
374,2020-03-06,1,H1,0
375,2020-03-06,3,C1,0
376,2020-03-06,3,C1,1
377,2020-03-06,3,C1,4
378,2020-03-06,4,H5,4
379,2020-03-06,4,H5,0
380,2020-03-06,4,H5,0
381,2020-03-06,4,H5,0
382,2020-03-06,4,H5,1
383,2020-03-07,1,H6,2
384,2020-03-07,1,H6,2
385,2020-03-07,1,H6,0
386,2020-03-07,1,H6,4
387,2020-03-07,1,H6,3
388,2020-03-07,3,H2,4
389,2020-03-07,4,H5,0
390,2020-03-07,4,H5,3
391,2020-03-07,4,H5,3
392,2020-03-07,4,H5,4
393,2020-03-07,4,H5,3
394,2020-03-08,3,C3,0
395,2020-03-08,3,C3,2
396,2020-03-08,3,C3,4
397,2020-03-08,3,C3,3
398,2020-03-08,4,H3,2
399,2020-03-08,4,H3,1
400,2020-03-09,3,C1,1
401,2020-03-09,3,C1,1
402,2020-03-09,3,C1,3
403,2020-03-09,4,H5,0
404,2020-03-09,4,H5,3
405,2020-03-09,4,H5,0
406,2020-03-09,4,H5,2
407,2020-03-09,4,H5,2
408,2020-03-10,1,H4,0
409,2020-03-10,1,H4,4
410,2020-03-12,3,H6,0
411,2020-03-12,3,H6,3
412,2020-03-12,3,H6,2
413,2020-03-12,3,H6,3
414,2020-03-12,4,H5,2
415,2020-03-12,4,H5,2
416,2020-03-12,4,H5,2
417,2020-03-12,4,H5,4
418,2020-03-12,4,H5,3
419,2020-03-13,3,H5,2
420,2020-03-13,3,H5,2
421,2020-03-13,3,H5,4
422,2020-03-13,3,H5,2
423,2020-03-13,4,H6,3
424,2020-03-13,4,H6,1
425,2020-03-13,4,H6,0
426,2020-03-13,4,H6,0
427,2020-03-13,4,H6,3
428,2020-03-14,1,E,1
429,2020-03-14,1,E,4
430,2020-03-14,1,E,0
431,2020-03-14,1,E,3
432,2020-03-14,3,H4,0
433,2020-03-14,3,H4,3
434,2020-03-15,1,H2,4
435,2020-03-15,4,H4,4
436,2020-03-15,4,H4,2
437,2020-03-16,1,H1,4
438,2020-03-16,2,AB2,1
439,2020-03-16,2,AB2,0
440,2020-03-16,2,AB2,0
441,2020-03-16,3,H4,4
442,2020-03-16,3,H4,4
443,2020-03-16,4,H6,3
444,2020-03-16,4,H6,2
445,2020-03-16,4,H6,4
446,2020-03-16,4,H6,3
447,2020-03-16,4,H6,1
448,2020-03-17,1,H6,0
449,2020-03-17,1,H6,3
450,2020-03-17,1,H6,2
451,2020-03-17,1,H6,0
452,2020-03-17,1,H6,4
453,2020-03-17,2,AB1,2
454,2020-03-17,2,AB1,0
455,2020-03-17,2,AB1,1
456,2020-03-17,3,H1,0
457,2020-03-18,4,H4,0
458,2020-03-18,4,H4,2
459,2020-03-19,1,H5,1
460,2020-03-19,1,H5,4
461,2020-03-19,1,H5,2
462,2020-03-19,1,H5,3
463,2020-03-19,2,AB1,0
464,2020-03-19,2,AB1,1
465,2020-03-19,2,AB1,2
466,2020-03-19,4,H2,4
467,2020-03-20,1,H6,4
468,2020-03-20,1,H6,1
469,2020-03-20,1,H6,0
470,2020-03-20,1,H6,0
471,2020-03-20,1,H6,0
472,2020-03-20,3,H4,4
473,2020-03-20,3,H4,1
474,2020-03-21,1,H3,1
475,2020-03-21,1,H3,2
476,2020-03-21,1,H3,2
477,2020-03-21,3,H6,2
478,2020-03-21,3,H6,4
479,2020-03-21,3,H6,3
480,2020-03-21,3,H6,2
481,2020-03-21,4,H5,2
482,2020-03-21,4,H5,3
483,2020-03-21,4,H5,2
484,2020-03-21,4,H5,0
485,2020-03-21,4,H5,2
486,2020-03-22,3,H1,2
487,2020-03-23,2,AB3,4
488,2020-03-23,2,AB3,0
489,2020-03-23,2,AB3,2
490,2020-03-23,2,AB3,1
491,2020-03-23,4,E,1
492,2020-03-23,4,E,4
493,2020-03-23,4,E,0
494,2020-03-23,4,E,3
495,2020-03-24,3,C2,4
496,2020-03-24,3,C2,3
497,2020-03-24,3,C2,4
498,2020-03-24,3,C2,0
499,2020-03-24,3,C2,0
500,2020-03-24,3,C2,2
501,2020-03-25,1,H5,1
502,2020-03-25,1,H5,2
503,2020-03-25,1,H5,0
504,2020-03-25,1,H5,0
505,2020-03-25,4,H4,3
506,2020-03-25,4,H4,4
507,2020-03-26,1,H4,3
508,2020-03-26,1,H4,1
509,2020-03-26,2,MBA,0
510,2020-03-26,2,MBA,4
511,2020-03-26,2,MBA,3
512,2020-03-26,4,H3,1
513,2020-03-26,4,H3,3
514,2020-03-27,2,AB1,3
515,2020-03-27,2,AB1,3
516,2020-03-27,2,AB1,3
517,2020-03-27,3,C2,2
518,2020-03-27,3,C2,4
519,2020-03-27,3,C2,3
520,2020-03-27,3,C2,4
521,2020-03-27,3,C2,3
522,2020-03-27,3,C2,0
523,2020-03-27,4,H2,2
524,2020-03-28,1,H6,2
525,2020-03-28,1,H6,4
526,2020-03-28,1,H6,3
527,2020-03-28,1,H6,2
528,2020-03-28,1,H6,2
529,2020-03-28,3,H6,1
530,2020-03-28,3,H6,0
531,2020-03-28,3,H6,2
532,2020-03-28,3,H6,4
533,2020-03-28,4,H3,2
534,2020-03-28,4,H3,0
535,2020-03-29,1,H4,2
536,2020-03-29,1,H4,0
537,2020-03-30,1,H3,0
538,2020-03-30,1,H3,2
539,2020-03-30,1,H3,4
540,2020-03-31,1,H2,4
541,2020-03-31,3,C1,0
542,2020-03-31,3,C1,2
543,2020-03-31,3,C1,2
544,2020-03-31,4,E,1
545,2020-03-31,4,E,3
546,2020-03-31,4,E,4
547,2020-03-31,4,E,2
548,2020-04-01,1,H4,2
549,2020-04-01,1,H4,2
550,2020-04-01,2,MBA,4
551,2020-04-01,2,MBA,4
552,2020-04-01,2,MBA,0
553,2020-04-01,4,H6,1
554,2020-04-01,4,H6,1
555,2020-04-01,4,H6,2
556,2020-04-01,4,H6,4
557,2020-04-01,4,H6,3
558,2020-04-02,4,H4,4
559,2020-04-02,4,H4,1
560,2020-04-03,1,H3,1
561,2020-04-03,1,H3,1
562,2020-04-03,1,H3,2
563,2020-04-03,3,H2,3
564,2020-04-04,3,H1,3
565,2020-04-05,1,E,1
566,2020-04-05,1,E,0
567,2020-04-05,1,E,1
568,2020-04-05,1,E,0
569,2020-04-05,3,H1,3
570,2020-04-06,3,H1,2
571,2020-04-06,4,E,3
572,2020-04-06,4,E,1
573,2020-04-06,4,E,1
574,2020-04-06,4,E,4
575,2020-04-07,2,AB3,0
576,2020-04-07,2,AB3,4
577,2020-04-07,2,AB3,4
578,2020-04-07,2,AB3,2
579,2020-04-07,4,H6,0
580,2020-04-07,4,H6,0
581,2020-04-07,4,H6,2
582,2020-04-07,4,H6,4
583,2020-04-07,4,H6,1
584,2020-04-08,1,H3,1
585,2020-04-08,1,H3,0
586,2020-04-08,1,H3,1
587,2020-04-08,3,H4,2
588,2020-04-08,3,H4,2
589,2020-04-10,1,H5,1
590,2020-04-10,1,H5,4
591,2020-04-10,1,H5,1
592,2020-04-10,1,H5,0
593,2020-04-10,3,H5,3
594,2020-04-10,3,H5,2
595,2020-04-10,3,H5,1
596,2020-04-10,3,H5,2
597,2020-04-10,4,H2,2
598,2020-04-11,3,H6,4
599,2020-04-11,3,H6,4
600,2020-04-11,3,H6,1
601,2020-04-11,3,H6,4
602,2020-04-12,2,AB3,0
603,2020-04-12,2,AB3,3
604,2020-04-12,2,AB3,2
605,2020-04-12,2,AB3,4
606,2020-04-13,1,H4,1
607,2020-04-13,1,H4,3
608,2020-04-13,3,C1,3
609,2020-04-13,3,C1,3
610,2020-04-13,3,C1,4
611,2020-04-14,4,H5,3
612,2020-04-14,4,H5,0
613,2020-04-14,4,H5,1
614,2020-04-14,4,H5,1
615,2020-04-14,4,H5,2
616,2020-04-15,2,MBA,1
617,2020-04-15,2,MBA,4
618,2020-04-15,2,MBA,0
619,2020-04-15,4,H4,0
620,2020-04-15,4,H4,0
621,2020-04-16,1,H4,1
622,2020-04-16,1,H4,1
623,2020-04-16,2,AB2,2
624,2020-04-16,2,AB2,1
625,2020-04-16,2,AB2,4
626,2020-04-17,2,MBA,4
627,2020-04-17,2,MBA,4
628,2020-04-17,2,MBA,4
629,2020-04-18,1,E,3
630,2020-04-18,1,E,0
631,2020-04-18,1,E,0
632,2020-04-18,1,E,2
633,2020-04-19,1,H5,4
634,2020-04-19,1,H5,2
635,2020-04-19,1,H5,0
636,2020-04-19,1,H5,0
637,2020-04-20,1,H5,3
638,2020-04-20,1,H5,4
639,2020-04-20,1,H5,4
640,2020-04-20,1,H5,4
641,2020-04-22,1,H2,0
642,2020-04-22,2,MBA,1
643,2020-04-22,2,MBA,3
644,2020-04-22,2,MBA,0
645,2020-04-23,1,E,4
646,2020-04-23,1,E,2
647,2020-04-23,1,E,1
648,2020-04-23,1,E,2
649,2020-04-23,2,AB1,2
650,2020-04-23,2,AB1,0
651,2020-04-23,2,AB1,4
652,2020-04-23,4,H3,0
653,2020-04-23,4,H3,1
654,2020-04-24,1,H4,1
655,2020-04-24,1,H4,2
656,2020-04-24,3,C2,2
657,2020-04-24,3,C2,3
658,2020-04-24,3,C2,0
659,2020-04-24,3,C2,1
660,2020-04-24,3,C2,1
661,2020-04-24,3,C2,3
662,2020-04-24,4,H2,2
663,2020-04-25,2,MBA,4
664,2020-04-25,2,MBA,0
665,2020-04-25,2,MBA,2
666,2020-04-25,3,H3,1
667,2020-04-25,3,H3,2
668,2020-04-25,4,H6,2
669,2020-04-25,4,H6,4
670,2020-04-25,4,H6,2
671,2020-04-25,4,H6,1
672,2020-04-25,4,H6,4
673,2020-04-26,4,E,4
674,2020-04-26,4,E,2
675,2020-04-26,4,E,1
676,2020-04-26,4,E,4
677,2020-04-27,2,AB1,2
678,2020-04-27,2,AB1,0
679,2020-04-27,2,AB1,4
680,2020-04-27,3,H5,0
681,2020-04-27,3,H5,1
682,2020-04-27,3,H5,1
683,2020-04-27,3,H5,4
684,2020-04-28,3,H5,0
685,2020-04-28,3,H5,4
686,2020-04-28,3,H5,4
687,2020-04-28,3,H5,4
688,2020-04-30,1,H3,1
689,2020-04-30,1,H3,4
690,2020-04-30,1,H3,3
691,2020-04-30,3,H6,1
692,2020-04-30,3,H6,2
693,2020-04-30,3,H6,4
694,2020-04-30,3,H6,1
695,2020-04-30,4,H6,3
696,2020-04-30,4,H6,4
697,2020-04-30,4,H6,1
698,2020-04-30,4,H6,4
699,2020-04-30,4,H6,0
700,2020-05-01,1,H4,2
701,2020-05-01,1,H4,2
702,2020-05-01,4,H6,1
703,2020-05-01,4,H6,2
704,2020-05-01,4,H6,3
705,2020-05-01,4,H6,1
706,2020-05-01,4,H6,4
707,2020-05-02,1,H3,2
708,2020-05-02,1,H3,3
709,2020-05-02,1,H3,0
710,2020-05-02,3,C1,0
711,2020-05-02,3,C1,2
712,2020-05-02,3,C1,2
713,2020-05-03,3,C2,0
714,2020-05-03,3,C2,0
715,2020-05-03,3,C2,4
716,2020-05-03,3,C2,3
717,2020-05-03,3,C2,1
718,2020-05-03,3,C2,0
719,2020-05-04,1,H3,0
720,2020-05-04,1,H3,3
721,2020-05-04,1,H3,3
722,2020-05-04,2,MBA,3
723,2020-05-04,2,MBA,0
724,2020-05-04,2,MBA,1
725,2020-05-04,3,H3,2
726,2020-05-04,3,H3,4
727,2020-05-05,1,H4,2
728,2020-05-05,1,H4,1
729,2020-05-05,3,C1,0
730,2020-05-05,3,C1,1
731,2020-05-05,3,C1,3
732,2020-05-05,4,E,4
733,2020-05-05,4,E,1
734,2020-05-05,4,E,0
735,2020-05-05,4,E,3
736,2020-05-06,1,H3,3
737,2020-05-06,1,H3,3
738,2020-05-06,1,H3,1
739,2020-05-06,3,H5,0
740,2020-05-06,3,H5,2
741,2020-05-06,3,H5,1
742,2020-05-06,3,H5,0
743,2020-05-07,2,AB2,2
744,2020-05-07,2,AB2,2
745,2020-05-07,2,AB2,3
746,2020-05-07,3,H1,0
747,2020-05-08,1,H2,3
748,2020-05-08,3,H3,3
749,2020-05-08,3,H3,2
750,2020-05-09,1,H2,1
751,2020-05-09,3,H6,0
752,2020-05-09,3,H6,3
753,2020-05-09,3,H6,4
754,2020-05-09,3,H6,1
755,2020-05-10,1,H1,2
756,2020-05-10,3,H4,2
757,2020-05-10,3,H4,3
758,2020-05-11,1,E,1
759,2020-05-11,1,E,1
760,2020-05-11,1,E,4
761,2020-05-11,1,E,1
762,2020-05-11,2,MBA,0
763,2020-05-11,2,MBA,4
764,2020-05-11,2,MBA,4
765,2020-05-12,2,AB2,2
766,2020-05-12,2,AB2,4
767,2020-05-12,2,AB2,0
768,2020-05-12,4,H5,3
769,2020-05-12,4,H5,2
770,2020-05-12,4,H5,4
771,2020-05-12,4,H5,3
772,2020-05-12,4,H5,0
773,2020-05-13,1,H1,3
774,2020-05-13,2,AB3,3
775,2020-05-13,2,AB3,4
776,2020-05-13,2,AB3,4
777,2020-05-13,2,AB3,3
778,2020-05-13,3,H5,0
779,2020-05-13,3,H5,4
780,2020-05-13,3,H5,2
781,2020-05-13,3,H5,4
782,2020-05-14,4,H4,0
783,2020-05-14,4,H4,0
784,2020-05-15,1,H5,0
785,2020-05-15,1,H5,0
786,2020-05-15,1,H5,4
787,2020-05-15,1,H5,4
788,2020-05-15,3,H4,3
789,2020-05-15,3,H4,4
790,2020-05-16,3,H5,1
791,2020-05-16,3,H5,2
792,2020-05-16,3,H5,4
793,2020-05-16,3,H5,1
794,2020-05-17,1,H6,1
795,2020-05-17,1,H6,3
796,2020-05-17,1,H6,4
797,2020-05-17,1,H6,4
798,2020-05-17,1,H6,2
799,2020-05-17,4,H4,1
800,2020-05-17,4,H4,4
801,2020-05-18,3,C2,0
802,2020-05-18,3,C2,0
803,2020-05-18,3,C2,0
804,2020-05-18,3,C2,2
805,2020-05-18,3,C2,3
806,2020-05-18,3,C2,0
807,2020-05-18,4,H2,0
808,2020-05-19,3,H4,3
809,2020-05-19,3,H4,1
810,2020-05-20,1,H6,4
811,2020-05-20,1,H6,2
812,2020-05-20,1,H6,4
813,2020-05-20,1,H6,0
814,2020-05-20,1,H6,4
815,2020-05-20,2,AB3,1
816,2020-05-20,2,AB3,2
817,2020-05-20,2,AB3,4
818,2020-05-20,2,AB3,1
819,2020-05-20,3,C3,4
820,2020-05-20,3,C3,2
821,2020-05-20,3,C3,0
822,2020-05-20,3,C3,1
823,2020-05-20,4,H3,3
824,2020-05-20,4,H3,1
825,2020-05-21,4,H6,1
826,2020-05-21,4,H6,2
827,2020-05-21,4,H6,3
828,2020-05-21,4,H6,1
829,2020-05-21,4,H6,0
830,2020-05-22,3,C3,3
831,2020-05-22,3,C3,2
832,2020-05-22,3,C3,4
833,2020-05-22,3,C3,4
834,2020-05-22,4,H4,3
835,2020-05-22,4,H4,0
836,2020-05-24,1,H3,2
837,2020-05-24,1,H3,1
838,2020-05-24,1,H3,2
839,2020-05-24,3,C2,1
840,2020-05-24,3,C2,4
841,2020-05-24,3,C2,4
842,2020-05-24,3,C2,1
843,2020-05-24,3,C2,4
844,2020-05-24,3,C2,1
845,2020-05-24,4,H2,0
846,2020-05-25,4,E,3
847,2020-05-25,4,E,3
848,2020-05-25,4,E,2
849,2020-05-25,4,E,2
850,2020-05-26,1,H3,3
851,2020-05-26,1,H3,0
852,2020-05-26,1,H3,0
853,2020-05-27,1,H6,3
854,2020-05-27,1,H6,3
855,2020-05-27,1,H6,0
856,2020-05-27,1,H6,1
857,2020-05-27,1,H6,4
858,2020-05-27,2,AB1,3
859,2020-05-27,2,AB1,2
860,2020-05-27,2,AB1,2
861,2020-05-27,4,H5,0
862,2020-05-27,4,H5,4
863,2020-05-27,4,H5,0
864,2020-05-27,4,H5,2
865,2020-05-27,4,H5,1
866,2020-05-28,1,H1,1
867,2020-05-28,3,H3,1
868,2020-05-28,3,H3,1
869,2020-05-28,4,H1,4
870,2020-05-29,1,H2,4
