,date,time,species,catch,effort,boat,location
326,2020-01-05,2,species4,62,778,boat6,AB3
327,2020-01-05,2,species1,299,984,boat4,AB3
328,2020-01-05,2,species2,462,984,boat4,AB3
329,2020-01-05,2,species3,138,984,boat4,AB3
330,2020-01-05,2,species4,85,984,boat4,AB3
331,2020-01-05,2,species5,400,739,boat3,AB2
332,2020-01-05,2,species6,89,739,boat3,AB2
333,2020-01-05,2,species7,250,739,boat3,AB2
334,2020-01-05,3,species5,343,345,boat5,H3
335,2020-01-05,3,species8,2,345,boat5,H3
336,2020-01-05,3,species3,61,124,boat9,H6
337,2020-01-05,3,species6,26,124,boat9,H6
338,2020-01-05,3,species9,26,124,boat9,H6
339,2020-01-05,3,species12,11,124,boat9,H6
340,2020-01-05,3,species2,145,145,boat10,H2
341,2020-01-05,3,species5,20,514,boat3,C2
342,2020-01-05,3,species6,11,514,boat3,C2
343,2020-01-05,3,species7,184,514,boat3,C2
344,2020-01-05,3,species11,134,514,boat3,C2
345,2020-01-05,3,species12,6,514,boat3,C2
346,2020-01-05,3,species13,159,514,boat3,C2
347,2020-01-05,3,species8,0,167,boat8,C1
348,2020-01-05,3,species9,23,167,boat8,C1
349,2020-01-05,3,species10,144,167,boat8,C1
350,2020-01-05,3,species1,199,199,boat4,H1
351,2020-01-05,3,species5,245,368,boat1,H3
352,2020-01-05,3,species8,123,368,boat1,H3
353,2020-01-05,3,species2,261,261,boat7,H2
354,2020-01-05,4,species2,167,167,boat9,H2
355,2020-01-05,4,species1,201,201,boat5,H1
356,2020-01-05,4,species2,688,688,boat6,H2
357,2020-01-06,1,species2,701,701,boat8,H2
358,2020-01-06,1,species8,200,206,boat4,H4
359,2020-01-06,1,species11,6,206,boat4,H4
360,2020-01-06,2,species5,351,426,boat5,AB2
361,2020-01-06,2,species6,17,426,boat5,AB2
362,2020-01-06,2,species7,58,426,boat5,AB2
363,2020-01-06,2,species8,345,499,boat10,AB1
364,2020-01-06,2,species9,78,499,boat10,AB1
365,2020-01-06,2,species10,76,499,boat10,AB1
366,2020-01-06,2,species5,495,758,boat1,AB2
367,2020-01-06,2,species6,41,758,boat1,AB2
368,2020-01-06,2,species7,222,758,boat1,AB2
369,2020-01-06,2,species8,523,739,boat9,AB1
370,2020-01-06,2,species9,83,739,boat9,AB1
371,2020-01-06,2,species10,133,739,boat9,AB1
372,2020-01-06,2,species11,41,120,boat6,MBA
373,2020-01-06,2,species12,36,120,boat6,MBA
374,2020-01-06,2,species13,43,120,boat6,MBA
375,2020-01-06,2,species1,169,775,boat7,AB3
376,2020-01-06,2,species2,338,775,boat7,AB3
377,2020-01-06,2,species3,170,775,boat7,AB3
378,2020-01-06,2,species4,98,775,boat7,AB3
379,2020-01-06,2,species8,275,409,boat2,AB1
380,2020-01-06,2,species9,56,409,boat2,AB1
381,2020-01-06,2,species10,78,409,boat2,AB1
382,2020-01-06,3,species5,31,180,boat3,H4
383,2020-01-06,3,species8,149,180,boat3,H4
384,2020-01-06,3,species5,26,642,boat7,C2
385,2020-01-06,3,species6,15,642,boat7,C2
386,2020-01-06,3,species7,236,642,boat7,C2
387,2020-01-06,3,species11,65,642,boat7,C2
388,2020-01-06,3,species12,5,642,boat7,C2
389,2020-01-06,3,species13,295,642,boat7,C2
390,2020-01-06,3,species2,186,186,boat10,H2
391,2020-01-06,3,species5,16,302,boat8,C2
392,2020-01-06,3,species6,16,302,boat8,C2
393,2020-01-06,3,species7,53,302,boat8,C2
394,2020-01-06,3,species11,167,302,boat8,C2
395,2020-01-06,3,species12,12,302,boat8,C2
396,2020-01-06,3,species13,38,302,boat8,C2
397,2020-01-06,3,species8,1,143,boat6,C1
398,2020-01-06,3,species9,13,143,boat6,C1
399,2020-01-06,3,species10,129,143,boat6,C1
400,2020-01-06,3,species1,111,364,boat2,C3
401,2020-01-06,3,species2,145,364,boat2,C3
402,2020-01-06,3,species3,8,364,boat2,C3
403,2020-01-06,3,species4,100,364,boat2,C3
404,2020-01-06,3,species2,355,355,boat5,H2
405,2020-01-06,3,species3,6,90,boat9,H5
406,2020-01-06,3,species6,9,90,boat9,H5
407,2020-01-06,3,species9,43,90,boat9,H5
408,2020-01-06,3,species12,32,90,boat9,H5
409,2020-01-06,3,species5,17,319,boat1,C2
410,2020-01-06,3,species6,0,319,boat1,C2
411,2020-01-06,3,species7,11,319,boat1,C2
412,2020-01-06,3,species11,29,319,boat1,C2
413,2020-01-06,3,species12,15,319,boat1,C2
414,2020-01-06,3,species13,247,319,boat1,C2
415,2020-01-06,4,species3,139,620,boat9,H5
416,2020-01-06,4,species6,2,620,boat9,H5
417,2020-01-06,4,species8,379,620,boat9,H5
418,2020-01-06,4,species9,47,620,boat9,H5
419,2020-01-06,4,species12,53,620,boat9,H5
420,2020-01-06,4,species4,22,463,boat4,E
421,2020-01-06,4,species7,107,463,boat4,E
422,2020-01-06,4,species10,142,463,boat4,E
423,2020-01-06,4,species13,192,463,boat4,E
424,2020-01-06,4,species3,131,275,boat10,H5
425,2020-01-06,4,species6,30,275,boat10,H5
426,2020-01-06,4,species8,38,275,boat10,H5
427,2020-01-06,4,species9,51,275,boat10,H5
428,2020-01-06,4,species12,25,275,boat10,H5
429,2020-01-06,4,species5,294,316,boat6,H3
430,2020-01-06,4,species11,22,316,boat6,H3
431,2020-01-06,4,species3,30,273,boat1,H5
432,2020-01-06,4,species6,12,273,boat1,H5
433,2020-01-06,4,species8,155,273,boat1,H5
434,2020-01-06,4,species9,68,273,boat1,H5
435,2020-01-06,4,species12,8,273,boat1,H5
436,2020-01-06,4,species3,37,94,boat7,H6
437,2020-01-06,4,species6,27,94,boat7,H6
438,2020-01-06,4,species8,1,94,boat7,H6
439,2020-01-06,4,species9,28,94,boat7,H6
440,2020-01-06,4,species12,1,94,boat7,H6
441,2020-01-06,4,species2,3,3,boat5,H2
442,2020-01-06,4,species5,16,54,boat8,H4
443,2020-01-06,4,species11,38,54,boat8,H4
444,2020-01-07,1,species3,99,199,boat10,H6
445,2020-01-07,1,species5,24,199,boat10,H6
446,2020-01-07,1,species6,30,199,boat10,H6
447,2020-01-07,1,species9,26,199,boat10,H6
448,2020-01-07,1,species12,20,199,boat10,H6
449,2020-01-07,1,species4,51,766,boat2,E
450,2020-01-07,1,species7,230,766,boat2,E
451,2020-01-07,1,species10,160,766,boat2,E
452,2020-01-07,1,species13,325,766,boat2,E
453,2020-01-07,2,species5,275,398,boat6,AB2
454,2020-01-07,2,species6,16,398,boat6,AB2
455,2020-01-07,2,species7,107,398,boat6,AB2
456,2020-01-07,2,species8,52,175,boat1,AB1
457,2020-01-07,2,species9,45,175,boat1,AB1
458,2020-01-07,2,species10,78,175,boat1,AB1
459,2020-01-07,2,species5,296,545,boat3,AB2
460,2020-01-07,2,species6,79,545,boat3,AB2
461,2020-01-07,2,species7,170,545,boat3,AB2
462,2020-01-07,2,species5,86,358,boat9,AB2
463,2020-01-07,2,species6,18,358,boat9,AB2
464,2020-01-07,2,species7,254,358,boat9,AB2
465,2020-01-07,2,species1,257,516,boat10,AB3
466,2020-01-07,2,species2,139,516,boat10,AB3
467,2020-01-07,2,species3,31,516,boat10,AB3
468,2020-01-07,2,species4,89,516,boat10,AB3
469,2020-01-07,2,species11,22,294,boat4,MBA
470,2020-01-07,2,species12,67,294,boat4,MBA
471,2020-01-07,2,species13,205,294,boat4,MBA
472,2020-01-07,2,species11,81,273,boat8,MBA
473,2020-01-07,2,species12,39,273,boat8,MBA
474,2020-01-07,2,species13,153,273,boat8,MBA
475,2020-01-07,2,species8,630,838,boat7,AB1
476,2020-01-07,2,species9,78,838,boat7,AB1
477,2020-01-07,2,species10,130,838,boat7,AB1
478,2020-01-07,3,species3,62,138,boat8,H5
479,2020-01-07,3,species6,24,138,boat8,H5
480,2020-01-07,3,species9,42,138,boat8,H5
481,2020-01-07,3,species12,10,138,boat8,H5
482,2020-01-07,3,species5,8,192,boat4,C2
483,2020-01-07,3,species6,4,192,boat4,C2
484,2020-01-07,3,species7,30,192,boat4,C2
485,2020-01-07,3,species11,103,192,boat4,C2
486,2020-01-07,3,species12,5,192,boat4,C2
487,2020-01-07,3,species13,42,192,boat4,C2
488,2020-01-07,4,species5,73,88,boat3,H4
489,2020-01-07,4,species11,15,88,boat3,H4
490,2020-01-08,1,species3,22,89,boat2,H6
491,2020-01-08,1,species5,25,89,boat2,H6
492,2020-01-08,1,species6,14,89,boat2,H6
493,2020-01-08,1,species9,25,89,boat2,H6
494,2020-01-08,1,species12,3,89,boat2,H6
495,2020-01-08,2,species11,115,301,boat9,MBA
496,2020-01-08,2,species12,48,301,boat9,MBA
497,2020-01-08,2,species13,138,301,boat9,MBA
498,2020-01-08,2,species11,135,527,boat3,MBA
499,2020-01-08,2,species12,43,527,boat3,MBA
500,2020-01-08,2,species13,349,527,boat3,MBA
501,2020-01-08,2,species8,62,198,boat1,AB1
502,2020-01-08,2,species9,3,198,boat1,AB1
503,2020-01-08,2,species10,133,198,boat1,AB1
504,2020-01-08,3,species5,10,309,boat7,H3
505,2020-01-08,3,species8,299,309,boat7,H3
506,2020-01-08,3,species5,13,349,boat3,C2
507,2020-01-08,3,species6,11,349,boat3,C2
508,2020-01-08,3,species7,21,349,boat3,C2
509,2020-01-08,3,species11,123,349,boat3,C2
510,2020-01-08,3,species12,7,349,boat3,C2
511,2020-01-08,3,species13,174,349,boat3,C2
512,2020-01-08,3,species1,64,64,boat8,H1
513,2020-01-08,3,species1,12,12,boat2,H1
514,2020-01-08,3,species5,101,436,boat10,H3
515,2020-01-08,3,species8,335,436,boat10,H3
516,2020-01-08,3,species5,10,15,boat1,H3
517,2020-01-08,3,species8,5,15,boat1,H3
518,2020-01-08,3,species8,40,184,boat6,C1
519,2020-01-08,3,species9,0,184,boat6,C1
520,2020-01-08,3,species10,144,184,boat6,C1
521,2020-01-08,4,species4,42,471,boat4,E
522,2020-01-08,4,species7,25,471,boat4,E
523,2020-01-08,4,species10,119,471,boat4,E
524,2020-01-08,4,species13,285,471,boat4,E
525,2020-01-08,4,species5,57,131,boat9,H4
526,2020-01-08,4,species11,74,131,boat9,H4
527,2020-01-08,4,species3,12,229,boat7,H5
528,2020-01-08,4,species6,47,229,boat7,H5
529,2020-01-08,4,species8,88,229,boat7,H5
530,2020-01-08,4,species9,42,229,boat7,H5
531,2020-01-08,4,species12,40,229,boat7,H5
532,2020-01-09,1,species5,143,408,boat2,H3
533,2020-01-09,1,species8,246,408,boat2,H3
534,2020-01-09,1,species11,19,408,boat2,H3
535,2020-01-09,2,species1,212,932,boat2,AB3
536,2020-01-09,2,species2,430,932,boat2,AB3
537,2020-01-09,2,species3,229,932,boat2,AB3
538,2020-01-09,2,species4,61,932,boat2,AB3
539,2020-01-09,2,species5,151,224,boat3,AB2
540,2020-01-09,2,species6,27,224,boat3,AB2
541,2020-01-09,2,species7,46,224,boat3,AB2
542,2020-01-09,2,species1,340,640,boat4,AB3
543,2020-01-09,2,species2,142,640,boat4,AB3
544,2020-01-09,2,species3,103,640,boat4,AB3
545,2020-01-09,2,species4,55,640,boat4,AB3
546,2020-01-09,2,species5,493,597,boat6,AB2
547,2020-01-09,2,species6,11,597,boat6,AB2
548,2020-01-09,2,species7,93,597,boat6,AB2
549,2020-01-09,3,species1,84,481,boat7,C3
550,2020-01-09,3,species2,340,481,boat7,C3
551,2020-01-09,3,species3,1,481,boat7,C3
552,2020-01-09,3,species4,56,481,boat7,C3
